batter,batting_team,bowling_team,venue,season,over_category,total_runs,balls_faced_x,runs_scored,balls_faced_y,strike_rate,venue_avg_runs
DJG Sammy,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2014,Middle,18,11,169,164,103.04878048780488,18.0
DJG Sammy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2013,Death,17,12,112,76,147.36842105263156,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2014,Death,4,8,112,76,147.36842105263156,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2014,Middle,3,8,169,164,103.04878048780488,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Mumbai Indians,Dubai International Cricket Stadium,2014,Death,10,6,112,76,147.36842105263156,10.0
DJG Sammy,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2013,Death,1,1,112,76,147.36842105263156,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,2013,Death,15,5,112,76,147.36842105263156,29.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,2013,Middle,14,17,169,164,103.04878048780488,29.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2013,Death,0,1,112,76,147.36842105263156,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2013,Middle,23,18,169,164,103.04878048780488,11.857142857142858
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013,Death,15,8,112,76,147.36842105263156,60.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013,Middle,32,26,169,164,103.04878048780488,60.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013,Powerplay,13,10,14,11,127.27272727272727,60.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,2014,Death,1,2,112,76,147.36842105263156,6.0
DJG Sammy,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,2014,Middle,5,10,169,164,103.04878048780488,6.0
DJG Sammy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2014,Middle,8,9,169,164,103.04878048780488,7.0
DJG Sammy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2014,Death,10,4,112,76,147.36842105263156,11.857142857142858
DJM Short,Rajasthan Royals,Delhi Daredevils,Arun Jaitley Stadium,2018,Middle,31,10,58,31,187.09677419354838,44.0
DJM Short,Rajasthan Royals,Delhi Daredevils,Arun Jaitley Stadium,2018,Powerplay,13,15,57,71,80.28169014084507,44.0
DJM Short,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,2018,Powerplay,6,3,57,71,80.28169014084507,25.0
DJM Short,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,2018,Powerplay,2,2,57,71,80.28169014084507,2.0
DJM Short,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,2018,Middle,27,21,58,31,187.09677419354838,25.0
DJM Short,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,2018,Powerplay,17,22,57,71,80.28169014084507,25.0
DJM Short,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2018,Powerplay,4,6,57,71,80.28169014084507,4.0
DJM Short,Rajasthan Royals,Royal Challengers Bangalore,M.Chinnaswamy Stadium,2018,Powerplay,11,18,57,71,80.28169014084507,11.0
DJM Short,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2018,Powerplay,4,5,57,71,80.28169014084507,4.0
DL Chahar,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,1,2,17,23,73.91304347826086,1.0
DL Chahar,Chennai Super Kings,Delhi Daredevils,Arun Jaitley Stadium,2018,Death,1,2,17,23,73.91304347826086,1.0
DL Chahar,Chennai Super Kings,Kings XI Punjab,Maharashtra Cricket Association Stadium,2018,Death,0,1,17,23,73.91304347826086,26.5
DL Chahar,Chennai Super Kings,Kings XI Punjab,Maharashtra Cricket Association Stadium,2018,Middle,39,20,63,36,175.0,26.5
DL Chahar,Chennai Super Kings,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",2021,Death,1,1,17,23,73.91304347826086,1.0
DL Chahar,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,2019,Death,0,3,17,23,73.91304347826086,0.0
DL Chahar,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium,2020/21,Middle,0,3,63,36,175.0,0.0
DL Chahar,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium,2020/21,Powerplay,0,2,0,2,0.0,0.0
DL Chahar,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2018,Middle,0,1,63,36,175.0,5.666666666666667
DL Chahar,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2019,Death,7,7,17,23,73.91304347826086,5.666666666666667
DL Chahar,Chennai Super Kings,Royal Challengers Bangalore,Dubai International Cricket Stadium,2020/21,Death,5,5,17,23,73.91304347826086,3.5
DL Chahar,Chennai Super Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium,2020/21,Death,2,2,17,23,73.91304347826086,3.5
DL Chahar,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,2018,Middle,10,6,63,36,175.0,5.666666666666667
DL Chahar,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,2017,Middle,14,6,63,36,175.0,26.5
DL Vettori,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2009/10,Middle,2,4,60,65,92.3076923076923,13.0
DL Vettori,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,2009,Death,1,2,61,53,115.09433962264151,1.0
DL Vettori,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2009/10,Death,12,7,61,53,115.09433962264151,8.0
DL Vettori,Delhi Daredevils,Rajasthan Royals,SuperSport Park,2009,Death,12,7,61,53,115.09433962264151,29.0
DL Vettori,Delhi Daredevils,Rajasthan Royals,SuperSport Park,2009,Middle,17,21,60,65,92.3076923076923,29.0
DL Vettori,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2009/10,Death,11,11,61,53,115.09433962264151,13.0
DL Vettori,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2009/10,Middle,8,6,60,65,92.3076923076923,13.0
DL Vettori,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,2009,Death,4,2,61,53,115.09433962264151,4.0
DL Vettori,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,Death,2,2,61,53,115.09433962264151,1.0
DL Vettori,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,Middle,0,1,60,65,92.3076923076923,1.0
DL Vettori,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2012,Death,1,1,61,53,115.09433962264151,1.0
DL Vettori,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2011,Death,3,6,61,53,115.09433962264151,3.0
DL Vettori,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2011,Death,9,8,61,53,115.09433962264151,13.0
DL Vettori,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2011,Middle,9,13,60,65,92.3076923076923,13.0
DL Vettori,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2012,Middle,3,5,60,65,92.3076923076923,8.0
DL Vettori,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2012,Death,2,3,61,53,115.09433962264151,2.0
DL Vettori,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,2012,Death,4,4,61,53,115.09433962264151,8.0
DL Vettori,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2012,Middle,20,13,60,65,92.3076923076923,8.0
DL Vettori,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2012,Middle,1,2,60,65,92.3076923076923,8.0
DM Bravo,Kolkata Knight Riders,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,2017,Death,6,5,6,5,120.0,6.0
DNT Zoysa,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2007/08,Death,0,1,10,8,125.0,5.5
DNT Zoysa,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2007/08,Middle,1,1,1,1,100.0,5.5
DNT Zoysa,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2007/08,Death,10,7,10,8,125.0,5.5
DP Conway,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023,Death,12,9,64,42,152.38095238095238,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023,Middle,45,27,422,272,155.14705882352942,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023,Powerplay,30,17,438,355,123.38028169014083,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Death,1,2,64,42,152.38095238095238,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Middle,55,28,422,272,155.14705882352942,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022,Powerplay,31,21,438,355,123.38028169014083,87.0
DP Conway,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,10,15,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,26,23,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,14,11,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023,Powerplay,48,34,438,355,123.38028169014083,24.0
DP Conway,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",2022,Powerplay,5,9,438,355,123.38028169014083,2.0
DP Conway,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Middle,19,17,422,272,155.14705882352942,56.0
DP Conway,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023,Powerplay,37,23,438,355,123.38028169014083,56.0
DP Conway,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,5,7,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,25,21,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",2022,Powerplay,3,8,438,355,123.38028169014083,2.0
DP Conway,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,21,10,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,26,20,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,1,2,64,42,152.38095238095238,48.75
DP Conway,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,23,21,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,20,20,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",2022,Powerplay,0,1,438,355,123.38028169014083,2.0
DP Conway,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",2023,Powerplay,0,4,438,355,123.38028169014083,2.0
DP Conway,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,16,10,64,42,152.38095238095238,48.75
DP Conway,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,51,26,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,25,18,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",2022,Middle,0,2,422,272,155.14705882352942,16.0
DP Conway,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",2022,Powerplay,16,12,438,355,123.38028169014083,16.0
DP Conway,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,27,19,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,23,20,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2023,Powerplay,8,16,438,355,123.38028169014083,8.0
DP Conway,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2023,Middle,53,25,422,272,155.14705882352942,83.0
DP Conway,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2023,Powerplay,30,21,438,355,123.38028169014083,83.0
DP Conway,Chennai Super Kings,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,26,19,422,272,155.14705882352942,70.5
DP Conway,Chennai Super Kings,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",2022,Powerplay,30,18,438,355,123.38028169014083,70.5
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Death,12,8,64,42,152.38095238095238,48.75
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Middle,23,22,422,272,155.14705882352942,48.75
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Powerplay,42,27,438,355,123.38028169014083,48.75
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",2022,Death,22,11,64,42,152.38095238095238,70.5
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",2022,Middle,48,26,422,272,155.14705882352942,70.5
DP Conway,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",2022,Powerplay,15,19,438,355,123.38028169014083,70.5
DP Nannes,Delhi Daredevils,Deccan Chargers,Barabati Stadium,2009/10,Death,1,2,1,5,20.0,1.0
DP Nannes,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2009/10,Death,0,3,1,5,20.0,3.0
DP Nannes,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2009/10,Middle,3,8,3,8,37.5,3.0
DP Vijaykumar,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,2007/08,Death,1,1,1,1,100.0,1.0
DPMD Jayawardene,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,2012,Middle,19,17,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,2012,Powerplay,1,4,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,2013,Powerplay,6,12,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2012,Middle,24,23,806,719,112.10013908205842,20.0
DPMD Jayawardene,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2012,Powerplay,39,28,689,618,111.48867313915858,20.0
DPMD Jayawardene,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2012,Powerplay,6,5,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2012,Death,20,10,313,185,169.1891891891892,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2012,Middle,28,27,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2012,Powerplay,8,12,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2013,Powerplay,4,4,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2012,Death,6,5,313,185,169.1891891891892,40.25
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2012,Middle,2,5,806,719,112.10013908205842,40.25
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2013,Death,0,1,313,185,169.1891891891892,40.25
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2013,Middle,32,24,806,719,112.10013908205842,40.25
DPMD Jayawardene,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,2013,Powerplay,7,17,689,618,111.48867313915858,40.25
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2013,Death,21,11,313,185,169.1891891891892,53.0
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2013,Middle,24,25,806,719,112.10013908205842,53.0
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2013,Powerplay,21,19,689,618,111.48867313915858,53.0
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2012,Middle,22,16,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2012,Powerplay,8,12,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,2013,Powerplay,5,9,689,618,111.48867313915858,8.5
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,2012,Middle,28,22,806,719,112.10013908205842,24.0
DPMD Jayawardene,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,2012,Powerplay,12,13,689,618,111.48867313915858,24.0
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2012,Middle,24,18,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2012,Powerplay,31,24,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2013,Middle,33,27,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2013,Powerplay,26,16,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2012,Middle,17,21,806,719,112.10013908205842,17.0
DPMD Jayawardene,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2013,Powerplay,3,7,689,618,111.48867313915858,17.0
DPMD Jayawardene,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,2012,Powerplay,7,7,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,2013,Powerplay,12,18,689,618,111.48867313915858,8.5
DPMD Jayawardene,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,2012,Powerplay,18,15,689,618,111.48867313915858,24.0
DPMD Jayawardene,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,2013,Powerplay,14,14,689,618,111.48867313915858,24.0
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2012,Powerplay,6,5,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2013,Middle,16,12,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2013,Powerplay,3,4,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,2012,Powerplay,0,3,689,618,111.48867313915858,18.6
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,2013,Middle,17,16,806,719,112.10013908205842,18.6
DPMD Jayawardene,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,2013,Powerplay,17,16,689,618,111.48867313915858,18.6
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2012,Middle,2,4,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2012,Powerplay,7,10,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2013,Powerplay,19,13,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Death,6,4,313,185,169.1891891891892,18.5
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Middle,17,23,806,719,112.10013908205842,18.5
DPMD Jayawardene,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013,Powerplay,5,4,689,618,111.48867313915858,18.5
DPMD Jayawardene,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,2013,Powerplay,12,14,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Powerplay,11,12,689,618,111.48867313915858,28.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,2009/10,Powerplay,21,9,689,618,111.48867313915858,40.25
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007/08,Middle,8,6,806,719,112.10013908205842,20.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2009/10,Middle,3,5,806,719,112.10013908205842,20.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2009/10,Powerplay,6,2,689,618,111.48867313915858,20.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,SuperSport Park,2009,Death,9,6,313,185,169.1891891891892,44.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,SuperSport Park,2009,Middle,35,19,806,719,112.10013908205842,44.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,2007/08,Middle,7,9,806,719,112.10013908205842,17.0
DPMD Jayawardene,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,2007/08,Powerplay,1,1,689,618,111.48867313915858,17.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,Barabati Stadium,2009/10,Middle,4,2,806,719,112.10013908205842,14.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,Barabati Stadium,2009/10,Powerplay,10,7,689,618,111.48867313915858,14.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,De Beers Diamond Oval,2009,Death,21,8,313,185,169.1891891891892,43.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,De Beers Diamond Oval,2009,Middle,22,21,806,719,112.10013908205842,43.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,2009/10,Death,46,16,313,185,169.1891891891892,40.25
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,2009/10,Middle,32,29,806,719,112.10013908205842,40.25
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,2009/10,Powerplay,15,20,689,618,111.48867313915858,40.25
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",2007/08,Death,13,10,313,185,169.1891891891892,15.125
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,1,1,806,719,112.10013908205842,15.125
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007/08,Death,9,7,313,185,169.1891891891892,28.0
DPMD Jayawardene,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007/08,Middle,36,18,806,719,112.10013908205842,28.0
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2007/08,Middle,7,4,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2007/08,Powerplay,29,14,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2009/10,Middle,11,11,806,719,112.10013908205842,22.88235294117647
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2009/10,Powerplay,27,24,689,618,111.48867313915858,22.88235294117647
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,Newlands,2009,Middle,6,6,806,719,112.10013908205842,6.5
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",2007/08,Middle,1,3,806,719,112.10013908205842,15.125
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",2007/08,Powerplay,14,12,689,618,111.48867313915858,15.125
DPMD Jayawardene,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",2009/10,Powerplay,0,1,689,618,111.48867313915858,15.125
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2007/08,Death,8,9,313,185,169.1891891891892,53.0
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2007/08,Middle,3,1,806,719,112.10013908205842,53.0
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2009/10,Death,19,8,313,185,169.1891891891892,53.0
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2009/10,Middle,44,28,806,719,112.10013908205842,53.0
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2009/10,Powerplay,47,25,689,618,111.48867313915858,53.0
DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,2009,Death,28,16,313,185,169.1891891891892,13.4
